"","Run","LibraryLayout","download_path"
"1","SRR2753159","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753159/SRR2753159.sra"
"2","SRR2753160","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753160/SRR2753160.sra"
"3","SRR2753161","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753161/SRR2753161.sra"
"4","SRR2753162","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753162/SRR2753162.sra"
"5","SRR2753163","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753163/SRR2753163.sra"
"6","SRR2753164","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753164/SRR2753164.sra"
"7","SRR2753165","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753165/SRR2753165.sra"
"8","SRR2753166","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753166/SRR2753166.sra"
"9","SRR2753167","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753167/SRR2753167.sra"
"10","SRR2753168","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753168/SRR2753168.sra"
"11","SRR2753169","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753169/SRR2753169.sra"
"12","SRR2753170","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753170/SRR2753170.sra"
"13","SRR2753171","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753171/SRR2753171.sra"
"14","SRR2753172","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753172/SRR2753172.sra"
"15","SRR2753173","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753173/SRR2753173.sra"
"16","SRR2753174","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753174/SRR2753174.sra"
"17","SRR2753175","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753175/SRR2753175.sra"
"18","SRR2753176","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753176/SRR2753176.sra"
"19","SRR2753177","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753177/SRR2753177.sra"
"20","SRR2753178","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753178/SRR2753178.sra"
"21","SRR2753179","SINGLE","ftp://ftp.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR275/SRR2753179/SRR2753179.sra"
